briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
Putative protein of unknown function,Putative protein of unknown function; expression induced by heat and by calcium shortage,Protein whose biological role and cellular location are unknown,chrXIII,YML002W,,,1,266754,264541,YML002W
Putative protein of unknown function,"Putative protein of unknown function; expression induced during heat stress; YNL019C has a paralog, YNL033W, that arose from a segmental duplication",Protein whose biological role is unknown; localizes to the prospore membrane in a large-scale study,chrXIV,YNL019C,,,-1,599230,598376,YNL019C
Putative protein of unknown function,"Putative protein of unknown function; expression induced in cells treated with mycotoxins patulin or citrinin; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",Protein whose biological role is unknown; localizes to the mitochondrion in large-scale studies,chrXI,YKL070W,,,1,306720,306211,YKL070W
Putative protein of unknown function,Putative protein of unknown function; expression induced under calcium shortage,Predicted integral membrane protein whose biological role is unknown; localizes to the vacuolar membrane in a large-scale study,chrX,YJR124C,,,-1,654238,652892,YJR124C
Putative protein of unknown function,"Putative protein of unknown function; expression is cell-cycle regulated as shown by microarray analysis; potential regulatory target of Mbp1p, which binds to the YJL181W promoter region; contains a PH-like domain; RBH1 has a paralog, RBH2, that arose from the whole genome duplication",Protein whose biological role and cellular location are unknown,chrX,YJL181W,RBH1,,1,87495,85660,RBH1
Putative protein of unknown function,"Putative protein of unknown function; expression is cell-cycle regulated, Azf1p-dependent, and heat-inducible; YNR014W has a paralog, YMR206W, that arose from the whole genome duplication",Protein whose biological role is unknown; localizes to the cytoplasm,chrXIV,YNR014W,,,1,653103,652465,YNR014W
Putative protein of unknown function,Putative protein of unknown function; expression is increased greatly during sporulation; YEL023C is not an essential gene,Protein whose biological role and cellular location are unknown,chrV,YEL023C,,,-1,110552,108504,YEL023C
Putative protein of unknown function,Putative protein of unknown function; expression is increased in ssu72-ts69 mutant,Protein whose biological role and cellular location are unknown,chrIV,YDR042C,,,-1,541203,540601,YDR042C
Putative protein of unknown function,"Putative protein of unknown function; expression is induced by activation of the HOG1 mitogen-activated signaling pathway and this induction is Hog1p/Pbs2p dependent; YJL107C and adjacent ORF, YJL108C are merged in related fungi",Protein whose biological role and cellular location are unknown,chrX,YJL107C,,,-1,220016,218853,YJL107C
Putative protein of unknown function,"Putative protein of unknown function; expression is regulated by Msn2p/Msn4p, indicating a possible role in stress response",Protein whose biological role and cellular location are unknown,chrVII,YGR127W,,,1,747736,746798,YGR127W
Putative protein of unknown function,Putative protein of unknown function; expression regulated by copper levels,Protein whose biological role and cellular location are unknown,chrXV,YOR389W,,,1,1076087,1074213,YOR389W
Putative protein of unknown function,"Putative protein of unknown function; expression repressed in carbon limited vs carbon replete chemostat cultures; non-essential gene; contains a PH-like domain; RBH2 has a paralog, RBH1, that arose from the whole genome duplication",,chrX,YJR030C,RBH2,,-1,486196,483959,RBH2
Putative protein of unknown function,"Putative protein of unknown function; functions together with HAM1 to mediate resistance to 5-FU; specifically reduces the incorporation of 5-FU into RNA, without affecting uptake or incorporation of uracil into RNA; proposed to be involved in the metabolism of purine and pyrimidine base analogues; deletion mutants are sensitive to HAP and AHA",,chrX,YJL055W,LOG1,,1,334094,333357,LOG1
Putative protein of unknown function,Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene,Protein whose biological role and cellular location are unknown,chrXVI,YPL272C,PBI1,,-1,28164,26611,PBI1
Putative protein of unknown function,Putative protein of unknown function; gene expression regulated by copper levels,Protein whose biological role and cellular location are unknown,chrXVI,YPL278C,,,-1,15355,15053,YPL278C
Putative protein of unknown function,Putative protein of unknown function; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS,Protein whose biological role and cellular location are unknown,chrX,YJR011C,,,-1,459426,458641,YJR011C
Putative protein of unknown function,"Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",Protein whose biological role is unknown; localizes to the mitochondrion in large-scale studies,chrXIV,YNL168C,FMP41,,-1,318809,318030,FMP41
Putative protein of unknown function,Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; contains two adjacent PH-like domains; conserved in closely related Saccharomyces species,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrX,YJL016W,TPH3,,1,407273,405588,TPH3
Putative protein of unknown function,"Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; overexpression causes cell cycle delay or arrest; contains a PH domain and binds phosphatidylinositols and other lipids in a large-scale study; YHR131C has a paralog, YNL144C, that arose from the whole genome duplication",Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,chrVIII,YHR131C,,,-1,367892,365340,YHR131C
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles,Protein whose biological role is unknown; colocalizes with clathrin-coated vesicles in a large-scale study,chrII,YBL010C,LAA2,,-1,206949,206107,LAA2
Putative protein of unknown function,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein co-localizes with clathrin-coated vesicles; YHL017W has a paralog, PTM1, that arose from the whole genome duplication",Predicted integral membrane protein whose biological role is unknown; colocalizes with clathrin-coated vesicles in a large scale study,chrVIII,YHL017W,,,1,71874,70276,YHL017W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large scale study,chrV,YEL025C,,,-1,106147,102581,YEL025C
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,chrXVI,YPL071C,,,-1,420518,420048,YPL071C
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,,chrVII,YGR111W,,,1,717030,715828,YGR111W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,chrVII,YGR126W,,,1,746527,745835,YGR126W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,chrXVI,YPL245W,,,1,86950,85586,YPL245W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,chrVII,YGR017W,,,1,524680,523787,YGR017W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrXIII,YML007C-A,MIN4,,-1,253272,253162,MIN4
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene,Protein whose biological role is unknown; localizes to the mitochondrion,chrXII,YLR281C,RSO55,,-1,704960,704493,RSO55
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrXII,YLR283W,,,1,706130,705186,YLR283W
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YMR252C is not an essential gene,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrXIII,YMR252C,MLO1,,-1,775719,775315,MLO1
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL115C is not an essential gene,Predicted integral membrane protein whose biological role is unknown; localizes to the vacuole in a large-scale study,chrXIV,YNL115C,,,-1,412053,410119,YNL115C
Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrXVI,YPL107W,DPC25,,1,349865,349119,DPC25
